Date,Open,High,Low,Close,Adj Close,Volume
"Jul 14, 2021","2,420.00","2,530.00","2,360.00","2,470.00","2,330.56","86,128,800"
"Jul 7, 2021","2,590.00","2,720.00","2,430.00","2,440.00","2,302.26","139,228,000"
"Jun 30, 2021","2,630.00","2,730.00","2,520.00","2,590.00","2,443.79","147,343,300"
"Jun 23, 2021","2,780.00","2,790.00","2,610.00","2,630.00","2,481.53","119,703,800"
"Jun 16, 2021","2,540.00","2,800.00","2,470.00","2,780.00","2,623.06","343,128,200"
"Jun 9, 2021","2,400.00","2,610.00","2,370.00","2,500.00","2,358.87","175,361,200"
"Jun 2, 2021","2,480.00","2,630.00","2,410.00","2,430.00","2,292.82","270,448,500"
"May 26, 2021","2,290.00","2,550.00","2,280.00","2,460.00","2,321.13","202,483,700"
"May 19, 2021","2,050.00","2,320.00","2,010.00","2,290.00","2,160.72","330,690,300"
"May 12, 2021","2,020.00","2,060.00","1,980.00","2,060.00","1,943.71","38,982,400"
"May 5, 2021","2,030.00","2,070.00","2,010.00","2,020.00","1,905.97","41,689,400"
"Apr 28, 2021","2,020.00","2,120.00","2,020.00","2,030.00","1,885.93","96,466,400"
"Apr 21, 2021","2,020.00","2,070.00","2,010.00","2,020.00","1,876.64","60,710,800"
"Apr 14, 2021","2,060.00","2,080.00","2,010.00","2,030.00","1,885.93","129,007,900"
"Apr 7, 2021","2,170.00","2,240.00","2,030.00","2,040.00","1,895.22","92,184,800"
"Mar 31, 2021","2,070.00","2,170.00","2,040.00","2,160.00","2,006.70","52,713,300"
"Mar 24, 2021","2,140.00","2,170.00","2,010.00","2,050.00","1,904.51","107,081,100"
"Mar 17, 2021","2,220.00","2,250.00","2,150.00","2,150.00","1,997.41","90,925,700"
"Mar 10, 2021","2,150.00","2,320.00","2,120.00","2,220.00","2,062.44","132,307,200"
"Mar 3, 2021","2,260.00","2,270.00","2,130.00","2,130.00","1,978.83","95,842,200"
"Feb 24, 2021","2,240.00","2,270.00","2,150.00","2,250.00","2,090.31","180,179,100"
"Feb 17, 2021","2,230.00","2,240.00","2,120.00","2,220.00","2,062.44","221,344,800"
"Feb 10, 2021","2,320.00","2,400.00","2,180.00","2,210.00","2,053.15","169,354,200"
"Feb 3, 2021","2,310.00","2,450.00","2,260.00","2,330.00","2,164.64","171,546,500"
"Jan 27, 2021","2,300.00","2,370.00","2,170.00","2,270.00","2,108.89","177,008,700"
"Jan 20, 2021","2,650.00","2,660.00","2,270.00","2,290.00","2,127.47","198,654,200"
"Jan 13, 2021","2,790.00","2,810.00","2,420.00","2,630.00","2,443.34","285,306,600"
"Jan 6, 2021","2,830.00","2,880.00","2,700.00","2,760.00","2,564.12","225,362,200"
"Dec 30, 2020","2,850.00","2,860.00","2,660.00","2,810.00","2,610.57","108,313,500"
"Dec 23, 2020","2,780.00","2,920.00","2,600.00","2,850.00","2,647.73","202,531,300"
"Dec 16, 2020","2,740.00","2,980.00","2,710.00","2,760.00","2,564.12","668,394,200"
"Dec 9, 2020","2,480.00","2,730.00","2,400.00","2,700.00","2,508.38","496,137,500"
"Dec 2, 2020","2,460.00","2,560.00","2,380.00","2,480.00","2,303.99","373,948,600"
"Nov 25, 2020","2,530.00","2,570.00","2,380.00","2,450.00","2,276.12","588,401,900"
